Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
03-Nov-2016 23:00,04-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 00:00,04-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 01:00,04-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 02:00,04-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 03:00,04-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 04:00,04-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 05:00,04-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 06:00,04-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 07:00,04-Nov-2016 08:00,0.0,0.578300393397233,0.0,0.0,0.0
04-Nov-2016 08:00,04-Nov-2016 09:00,0.0,1.33457839448177,2.0,0.0,0.0
04-Nov-2016 09:00,04-Nov-2016 10:00,0.0,0.122881784150501,0.0,0.0,0.0
04-Nov-2016 10:00,04-Nov-2016 11:00,0.0,0.2051725926026,2.0,0.0,0.0
04-Nov-2016 11:00,04-Nov-2016 12:00,0.0,0.00303704931863366,0.0,0.0,0.0
04-Nov-2016 12:00,04-Nov-2016 13:00,0.0,0.530512635304802,0.0,0.0,0.0
04-Nov-2016 13:00,04-Nov-2016 14:00,0.0,0.686455272115904,1.0,0.0,0.0
04-Nov-2016 14:00,04-Nov-2016 15:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 15:00,04-Nov-2016 16:00,0.0,0.846301350115398,0.0,0.0,0.0
04-Nov-2016 16:00,04-Nov-2016 17:00,0.0,0.00701528076036004,0.0,0.0,0.0
04-Nov-2016 17:00,04-Nov-2016 18:00,0.0,1.43405323104666,1.0,0.0,0.0
04-Nov-2016 18:00,04-Nov-2016 19:00,0.0,0.0113680089118387,0.0,0.0,0.0
04-Nov-2016 19:00,04-Nov-2016 20:00,0.0,0.480636830907515,0.0,0.0,0.0
04-Nov-2016 20:00,04-Nov-2016 21:00,0.0,0.010834191592158,0.0,0.0,0.0
04-Nov-2016 21:00,04-Nov-2016 22:00,0.0,0.182561378279766,1.0,0.0,0.0
04-Nov-2016 22:00,04-Nov-2016 23:00,0.0,0.0,0.0,0.0,0.0
04-Nov-2016 23:00,05-Nov-2016 00:00,0.0,1.01927244889838,0.0,0.0,0.0
05-Nov-2016 00:00,05-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 01:00,05-Nov-2016 02:00,0.0,0.0196166885389325,1.0,0.0,0.0
05-Nov-2016 02:00,05-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 03:00,05-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 04:00,05-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 05:00,05-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
